# A2D calibrations for Diamond A2D card.
# This simply applies a third order 0 1 0 0 calbaration for all channels and all settings.
#
# Diamond cards were not calibrated prior to Summer of 2024.
#
#  Date              Gain  Bipolar      CH 0             CH 1             CH 2             CH 3             CH 4             CH 5             CH 6             CH 7             CH 8             CH 9             CH 10            CH 11            CH 12            CH 13            CH 14            CH 15
2008 Jan 01 00:00:00    1       1       0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0
2008 Jan 01 00:00:00    2       0       0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0
2008 Jan 01 00:00:00    2       1       0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0
2008 Jan 01 00:00:00    4       0       0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0  0.0 1.0 0.0 0.0
