#
#  Date              Gain  Bipolar      CH0-off  CH0-slope  CH1-off  CH1-slope  CH2-off  CH2-slope  CH3-off  CH3-slope  CH4-off  CH4-slope  CH5-off  CH5-slope  CH6-off  CH6-slope  CH7-off  CH7-slope
2008 Jul 28 18:42:00	1	1	-0.210357 1.04972   -0.219233 1.05079    0.0239137 1.029    -0.168375 1.04568   -0.349398 1.06694   -0.200812 1.05245   -0.1837   1.048     -0.308241 1.06367
2008 Jul 28 19:07:00	2	0	-0.26282  1.04908   -0.283953 1.05041   -0.0357536 1.02854  -0.205611 1.04535   -0.410461 1.06639   -0.283155 1.0519    -0.255372 1.0475    -0.387532 1.06338
2008 Jul 28 19:29:00	2	1	-0.105666 1.04945   -0.109752 1.05063    0.0122241 1.029    -0.0842938 1.04583  -0.174354 1.06695   -0.100505 1.05251   -0.0922624 1.04822  -0.153797 1.06392
2008 Jul 28 19:54:00	4	0	-0.131862 1.04922   -0.142315 1.05065   -0.018022 1.02877   -0.103026 1.04566   -0.20543 1.06678    -0.141649 1.05231   -0.128086 1.04796   -0.193997 1.06382

# temperature: nan
# Comment: 40 deg C chamber cal
#  Date              Gain  Bipolar  CH0-off   CH0-slope  CH1-off   CH1-slope  CH2-off   CH2-slope  CH3-off   CH3-slope  CH4-off   CH4-slope  CH5-off   CH5-slope  CH6-off   CH6-slope  CH7-off   CH7-slope
2016 Jan 19 21:37:06    1       1       -0.214575 1.12153   -0.232196 1.12387   0.0252661 1.10095   -0.172922 1.11861   -0.00683086 1.1067    -0.208264 1.12336   -0.183899 1.11804   -0.312547 1.1342  
2016 Jan 19 23:12:25    2       0       -0.269371 1.12169   -0.299198 1.12382   -0.0371109 1.10091   -0.210676 1.11849   -0.0880187 1.10677   -0.295508 1.12318   -0.261687 1.11809   -0.397391 1.13414 
2016 Jan 20 17:01:01    4       0       -0.135126 1.1225    -0.150347 1.12469   -0.0187273 1.10163   -0.105849 1.11935   -0.0444117 1.1076    -0.148423 1.1241    -0.131699 1.11891   -0.199249 1.13499 
2016 Jan 20 21:24:27    2       1       -0.107324 1.1228    -0.115895 1.12497   0.0130194 1.102     -0.0862676 1.11967   -0.0034668 1.10787   -0.104134 1.1244    -0.0923011 1.11918   -0.156394 1.13534 
