
# temperature: 40
#  Date              Gain  Bipolar  CH0-off   CH0-slope  CH1-off   CH1-slope  CH2-off   CH2-slope  CH3-off   CH3-slope  CH4-off   CH4-slope  CH5-off   CH5-slope  CH6-off   CH6-slope  CH7-off   CH7-slope
2010 Aug 24 16:35:07    1        1  -0.461363   1.07611  -0.356645   1.06642  -0.320317   1.06532  -0.264547   1.06572  -0.375242   1.07014  -0.258266   1.05717  -0.476364   1.07971  -0.222303   1.05515

# temperature: 40
#  Date              Gain  Bipolar  CH0-off   CH0-slope  CH1-off   CH1-slope  CH2-off   CH2-slope  CH3-off   CH3-slope  CH4-off   CH4-slope  CH5-off   CH5-slope  CH6-off   CH6-slope  CH7-off   CH7-slope
2010 Aug 24 20:15:49    2        0  -0.508328   1.07598  -0.418878   1.06639  -0.387224   1.06517  -0.353174   1.06552  -0.448805   1.06982  -0.338442   1.05676  -0.554726   1.07948  -0.294014   1.05501

# temperature: 40
#  Date              Gain  Bipolar  CH0-off   CH0-slope  CH1-off   CH1-slope  CH2-off   CH2-slope  CH3-off   CH3-slope  CH4-off   CH4-slope  CH5-off   CH5-slope  CH6-off   CH6-slope  CH7-off   CH7-slope
2010 Aug 24 21:06:26    2        1   -0.23107   1.07698  -0.178305   1.06737   -0.16017   1.06617  -0.132097   1.06653  -0.187662   1.07085  -0.129122   1.05774  -0.238243   1.08049  -0.111355     1.056

# temperature: 40
#  Date              Gain  Bipolar  CH0-off   CH0-slope  CH1-off   CH1-slope  CH2-off   CH2-slope  CH3-off   CH3-slope  CH4-off   CH4-slope  CH5-off   CH5-slope  CH6-off   CH6-slope  CH7-off   CH7-slope
2010 Aug 24 21:50:37    4        0  -0.254953    1.0766  -0.210023   1.06698  -0.194349   1.06578  -0.177246   1.06612  -0.224729   1.07041  -0.170082   1.05744  -0.278145   1.08016  -0.147724    1.0557
