 18 1001
Lastname Firstname
NCAR Research Aviation Facility
 
HIPPO-3
1 1
2010 03 31  2010 06 10
1.0 
Time in seconds from 00Z
  3
1.0 1.0 1.0 
-32767.0  -32767.0  -32767.0  
Reference GPS Latitude   (degree_N)
Reference GPS Longitude   (degree_E)
Reference GPS Altitude (MSL)   (m)
0
1
UTC GGLAT_GMN GGLON_GMN GGALT_GMN
72570 19.746128 -156.044998 35.400002
72571 19.745564 -156.045044 35.199997
72572 19.744980 -156.045105 35.099998
72573 19.744377 -156.045151 35.199997
72574 19.743757 -156.045197 35.400002
72575 19.743118 -156.045258 35.500000
72576 19.742462 -156.045319 35.549999
72577 19.741787 -156.045380 35.699997
72578 19.741096 -156.045441 35.799999
72579 19.740391 -156.045502 36.250000
72580 19.739670 -156.045578 37.450001
72581 19.738934 -156.045639 40.300003
72582 19.738186 -156.045715 45.750000
72583 19.737434 -156.045776 52.799999
72584 19.736679 -156.045868 60.450001
72585 19.735918 -156.045929 68.500000
72586 19.735153 -156.045990 76.599998
72587 19.734383 -156.046082 84.800003
72588 19.733604 -156.046143 93.750000
72589 19.732822 -156.046204 102.800003
72590 19.732033 -156.046295 111.899994
72591 19.731239 -156.046356 121.300003
72592 19.730442 -156.046448 130.750000
72593 19.729639 -156.046539 141.149994
72594 19.728838 -156.046661 152.649994
72595 19.728037 -156.046799 164.500000
72596 19.727238 -156.046967 176.250000
72597 19.726440 -156.047165 187.950012
72598 19.725647 -156.047394 199.550003
72599 19.724857 -156.047668 211.399994
72600 19.724081 -156.047974 223.399994
72601 19.723316 -156.048325 234.850006
72602 19.722561 -156.048706 245.750000
72603 19.721821 -156.049149 256.200012
72604 19.721096 -156.049622 266.099976
72605 19.720388 -156.050156 275.349976
72606 19.719704 -156.050720 284.200012
72607 19.719042 -156.051331 292.750000
72608 19.718407 -156.051987 301.000000
72609 19.717796 -156.052673 309.350006
72610 19.717220 -156.053406 318.049988
72611 19.716679 -156.054184 327.000000
72612 19.716171 -156.054993 335.850006
72613 19.715698 -156.055832 344.100006
72614 19.715260 -156.056702 351.600006
72615 19.714857 -156.057587 358.950012
72616 19.714491 -156.058502 366.650024
72617 19.714159 -156.059418 374.700012
72618 19.713860 -156.060364 382.750000
72619 19.713596 -156.061340 390.450012
72620 19.713369 -156.062317 397.799988
72621 19.713181 -156.063293 404.950012
72622 19.713036 -156.064301 411.799988
72623 19.712925 -156.065308 418.150024
72624 19.712856 -156.066315 424.200012
72625 19.712830 -156.067352 430.350006
72626 19.712841 -156.068359 436.750000
72627 19.712883 -156.069397 443.149994
72628 19.712948 -156.070435 449.649994
72629 19.713032 -156.071442 456.500000
72630 19.713131 -156.072479 463.600006
72631 19.713243 -156.073486 470.799988
72632 19.713367 -156.074524 478.049988
72633 19.713497 -156.075531 485.400024
72634 19.713633 -156.076569 492.650024
72635 19.713772 -156.077576 499.650024
72636 19.713915 -156.078613 506.500000
72637 19.714062 -156.079620 513.200012
72638 19.714214 -156.080658 519.799988
72639 19.714375 -156.081680 526.599976
72640 19.714540 -156.082703 533.699951
72641 19.714714 -156.083740 541.049988
72642 19.714893 -156.084763 548.750000
72643 19.715075 -156.085785 556.849976
72644 19.715260 -156.086823 565.200012
72645 19.715450 -156.087860 573.700012
72646 19.715637 -156.088882 582.200012
72647 19.715830 -156.089920 590.650024
72648 19.716022 -156.090958 599.099976
