# Swap of A2D board from 004 to 003 on Thursday Jul 7 owing to a discontinuity observed at the end of tf03
#  Date              Gain  Bipolar      CH0-off  CH0-slope  CH1-off  CH1-slope  CH2-off  CH2-slope  CH3-off  CH3-slope  CH4-off  CH4-slope  CH5-off  CH5-slope  CH6-off  CH6-slope  CH7-off  CH7-slope
#                           Temp:       54.5 C              54.9 C              54.8 C              55.3 C              54.9 C              55.0 C              54.8 C              54.7 C  
2009 Mar 13 16:26:00    1       1       -0.421974 1.129020  -0.360818 1.126170  -0.190128 1.106770  -0.107877 1.105630  -0.054637 1.105660  -0.202878 1.117820  -0.219247 1.117750  -0.103589 1.098230
#                           Temp:       55.7 C              56.0 C              56.0 C              55.7 C              55.5 C              55.7 C              55.5 C              55.5 C  
2009 Mar 13 19:57:00    2       0       -0.489652 1.128540  -0.458035 1.125830  -0.256307 1.106480  -0.200751 1.105260  -0.168847 1.105150  -0.299632 1.117240  -0.323214 1.117330  -0.163808 1.097850
#                           Temp:       55.6 C              55.9 C              56.0 C              56.3 C              56.4 C              56.4 C              56.5 C              56.6 C  
2009 Mar 16 17:33:00    2       1       -0.211906 1.129700  -0.181114 1.126800  -0.095461 1.107400  -0.054877 1.106270  -0.027793 1.105970  -0.102095 1.118090  -0.110451 1.118180  -0.052567 1.098560
#                           Temp:       54.5 C              54.6 C              54.7 C              54.8 C              54.9 C              54.9 C              54.8 C              54.8 C  
2009 Mar 17 16:35:00    4       0       -0.245393 1.129950  -0.229194 1.127210  -0.128136 1.107820  -0.101269 1.106740  -0.084773 1.106450  -0.149941 1.118490  -0.162119 1.118680  -0.081997 1.099100

# Cal values for A2D004
# temperature: 40
#  Date              Gain  Bipolar  CH0-off   CH0-slope  CH1-off   CH1-slope  CH2-off   CH2-slope  CH3-off   CH3-slope  CH4-off   CH4-slope  CH5-off   CH5-slope  CH6-off   CH6-slope  CH7-off   CH7-slope
2011 Jul  7 00:00:01    1        1  -0.461363   1.07611  -0.356645   1.06642  -0.320317   1.06532  -0.264547   1.06572  -0.375242   1.07014  -0.258266   1.05717  -0.476364   1.07971  -0.222303   1.05515

# temperature: 40
#  Date              Gain  Bipolar  CH0-off   CH0-slope  CH1-off   CH1-slope  CH2-off   CH2-slope  CH3-off   CH3-slope  CH4-off   CH4-slope  CH5-off   CH5-slope  CH6-off   CH6-slope  CH7-off   CH7-slope
2011 Jul  7 00:00:11    2        0  -0.508328   1.07598  -0.418878   1.06639  -0.387224   1.06517  -0.353174   1.06552  -0.448805   1.06982  -0.338442   1.05676  -0.554726   1.07948  -0.294014   1.05501

# temperature: 40
#  Date              Gain  Bipolar  CH0-off   CH0-slope  CH1-off   CH1-slope  CH2-off   CH2-slope  CH3-off   CH3-slope  CH4-off   CH4-slope  CH5-off   CH5-slope  CH6-off   CH6-slope  CH7-off   CH7-slope
2011 Jul  7 00:00:21    2        1   -0.23107   1.07698  -0.178305   1.06737   -0.16017   1.06617  -0.132097   1.06653  -0.187662   1.07085  -0.129122   1.05774  -0.238243   1.08049  -0.111355     1.056

# temperature: 40
#  Date              Gain  Bipolar  CH0-off   CH0-slope  CH1-off   CH1-slope  CH2-off   CH2-slope  CH3-off   CH3-slope  CH4-off   CH4-slope  CH5-off   CH5-slope  CH6-off   CH6-slope  CH7-off   CH7-slope
2011 Jul  7 00:00:31    4        0  -0.254953    1.0766  -0.210023   1.06698  -0.194349   1.06578  -0.177246   1.06612  -0.224729   1.07041  -0.170082   1.05744  -0.278145   1.08016  -0.147724    1.0557

