#
# dateFormat="%Y %b %d %H:%M:%S"
# timeZone = "UTC"
#

# Picarro 2130 S/N 2406

# Calibration coefficients from Adriana for SPICULE 
#
2021 Jan 1 00:00:00     -4.9415357 0.9357379
2021 Mar 1 00:00:00     -4.7686632 0.9396068

2024 Jan 1 00:00:00	1.8771665 0.8241852
