        var_name       |      cal_date       |           cal           
-----------------------+---------------------+------------------------
 A2D1601_CH0_1T        | 2008-06-05 17:16:16 | {-0.416729,1.07713}
 A2D1601_CH1_1T        | 2008-06-05 17:19:46 | {-0.280616,1.06361}
 A2D1601_CH2_1T        | 2008-06-05 17:22:26 | {-0.323377,1.07326}
 A2D1601_CH3_1T        | 2008-06-05 17:24:58 | {-0.39689,1.08473}
 A2D1601_CH4_1T        | 2008-06-05 17:27:38 | {-0.116744,1.05463}
 A2D1601_CH5_1T        | 2008-06-05 19:31:40 | {-0.309866,1.07245}
 A2D1601_CH6_1T        | 2008-06-05 19:34:10 | {-0.287032,1.05795}
 A2D1601_CH7_1T        | 2008-06-05 19:37:15 | {-0.266198,1.06202}
 A2D1601_CH0_2F        | 2008-06-05 20:03:36 | {-0.478349,1.0767}
 A2D1601_CH1_2F        | 2008-06-05 20:05:56 | {-0.330087,1.06334}
 A2D1601_CH2_2F        | 2008-06-05 20:08:07 | {-0.414223,1.07298}
 A2D1601_CH3_2F        | 2008-06-05 20:10:35 | {-0.483367,1.08459}
 A2D1601_CH4_2F        | 2008-06-05 20:13:04 | {-0.182091,1.05443}
 A2D1601_CH5_2F        | 2008-06-05 20:18:04 | {-0.392771,1.07293}
 A2D1601_CH6_2F        | 2008-06-05 20:20:16 | {-0.324558,1.05811}
 A2D1601_CH7_2F        | 2008-06-05 20:22:30 | {-0.335465,1.06213}
 A2D1601_CH0_2T        | 2008-06-05 20:27:25 | {-0.208083,1.07681}
 A2D1601_CH1_2T        | 2008-06-05 20:30:17 | {-0.140558,1.06357}
 A2D1601_CH2_2T        | 2008-06-05 20:35:20 | {-0.161694,1.07331}
 A2D1601_CH3_2T        | 2008-06-05 20:37:55 | {-0.112667,1.084}
 A2D1601_CH4_2T        | 2008-06-05 20:40:30 | {-0.0585598,1.05476}
 A2D1601_CH5_2T        | 2008-06-05 20:42:41 | {-0.154423,1.07318}
 A2D1601_CH6_2T        | 2008-06-05 20:44:45 | {-0.143415,1.05841}
 A2D1601_CH7_2T        | 2008-06-05 20:47:11 | {-0.132821,1.06248}
 A2D1601_CH0_4F        | 2008-06-05 20:51:55 | {-0.239792,1.07688}
 A2D1601_CH1_4F        | 2008-06-05 20:54:02 | {-0.165501,1.06362}
 A2D1601_CH2_4F        | 2008-06-05 20:56:07 | {-0.207476,1.07326}
 A2D1601_CH3_4F        | 2008-06-05 20:58:09 | {-0.242021,1.08494}
 A2D1601_CH4_4F        | 2008-06-05 21:00:26 | {-0.09163,1.0548}
 A2D1601_CH5_4F        | 2008-06-05 21:02:25 | {-0.196527,1.07321}
 A2D1601_CH6_4F        | 2008-06-05 21:04:59 | {-0.162558,1.05846}
 A2D1601_CH7_4F        | 2008-06-05 21:07:25 | {-0.167943,1.06247}

 A2D1602_CH0_1T        | 2008-06-06 16:44:23 | {-0.334972,1.06295}
 A2D1602_CH1_1T        | 2008-06-06 16:49:30 | {-0.143207,1.04891}
 A2D1602_CH2_1T        | 2008-06-06 16:51:36 | {0.00790533,1.03136}
 A2D1602_CH3_1T        | 2008-06-06 16:53:46 | {-0.161735,1.05603}
 A2D1602_CH4_1T        | 2008-06-06 16:55:34 | {-0.233756,1.05538}
 A2D1602_CH5_1T        | 2008-06-06 16:57:44 | {-0.0976257,1.04001}
 A2D1602_CH6_1T        | 2008-06-06 17:00:27 | {-0.39567,1.06933}
 A2D1602_CH7_1T        | 2008-06-06 17:02:09 | {-0.215011,1.05702}
 A2D1602_CH0_2F        | 2008-06-06 17:06:56 | {-0.395853,1.06303}
 A2D1602_CH1_2F        | 2008-06-06 17:08:32 | {-0.232309,1.04912}
 A2D1602_CH2_2F        | 2008-06-06 17:10:13 | {-0.0556725,1.03128}
 A2D1602_CH3_2F        | 2008-06-06 17:11:51 | {-0.248037,1.05612}
 A2D1602_CH4_2F        | 2008-06-06 17:13:35 | {-0.282625,1.05536}
 A2D1602_CH5_2F        | 2008-06-06 17:15:14 | {-0.169221,1.04008}
 A2D1602_CH6_2F        | 2008-06-06 17:17:03 | {-0.468346,1.06926}
 A2D1602_CH7_2F        | 2008-06-06 17:18:42 | {-0.323592,1.05692}
 A2D1602_CH0_2T        | 2008-06-09 19:47:05 | {-0.166023,1.06328}
 A2D1602_CH1_2T        | 2008-06-09 19:48:49 | {-0.0695647,1.04912}
 A2D1602_CH2_2T        | 2008-06-09 19:50:59 | {0.00596862,1.03144}
 A2D1602_CH3_2T        | 2008-06-09 20:17:22 | {-0.0790554,1.05568}
 A2D1602_CH4_2T        | 2008-06-09 20:19:25 | {-0.116312,1.05518}
 A2D1602_CH5_2T        | 2008-06-09 20:23:14 | {-0.047386,1.03993}
 A2D1602_CH6_2T        | 2008-06-09 20:26:15 | {-0.196447,1.06923}
 A2D1602_CH7_2T        | 2008-06-09 20:27:57 | {-0.106203,1.05699}
 A2D1602_CH0_4F        | 2008-06-09 21:33:21 | {-0.195497,1.06366}
 A2D1602_CH1_4F        | 2008-06-09 21:35:22 | {-0.113514,1.04944}
 A2D1602_CH2_4F        | 2008-06-09 21:37:24 | {-0.0256707,1.0316}
 A2D1602_CH3_4F        | 2008-06-09 21:39:26 | {-0.122285,1.05631}
 A2D1602_CH4_4F        | 2008-06-09 21:41:25 | {-0.140192,1.05561}
 A2D1602_CH5_4F        | 2008-06-09 21:43:12 | {-0.083207,1.04034}
 A2D1602_CH6_4F        | 2008-06-09 21:44:58 | {-0.232746,1.06959}
 A2D1602_CH7_4F        | 2008-06-09 21:46:48 | {-0.159896,1.05733}

 A2D1604_CH0_1T        | 2008-06-10 20:28:38 | {-0.14513,1.03615}
 A2D1604_CH1_1T        | 2008-06-10 20:32:55 | {-0.0841098,1.02997}
