#
# dateFormat="%Y %b %d %H:%M:%S"
# timeZone = "UTC"
#
# This Calibration is determined by doing a flight by flight empirical fit from a reference sensor.
#  - must be manually updated
#

2013 Jan 01 00:00:00    38.0  -11.0  0.0 # tbaltzer - IDEAS-4 - 11/1/2011
2013 May 01 00:00:00     0      1        # tbaltzer - from Stuart for NOMADSS

# NOMADSS is a special case.  Allen Schanot reverse engineered these cal's and the code
# in uvhyg.c will be ignored.
#
2013 Jun 03 12:00:00	60.1 -174.15 221.51 -147.42 49.717 -6.6827
2013 Jun 05 12:00:00	73.2 -213.54 238.84 -117.227 21.059
2013 Jun 08 12:00:00	59.835 -259.88 512.95 -519.75 259.0 -50.185
2013 Jun 12 12:00:00	86.5 -478.11 1149.4 -1397.6 838.97 -197.76
2013 Jun 14 12:00:00	45.0 -164.373 255.027 -187.793 52.88
2013 Jun 19 12:00:00	58.85 -254.85 482.74 -468.49 226.44 -43.153
2013 Jun 20 12:00:00	86.0 -476.15 1154.7 -1411.5 843.82 -195.79
2013 Jun 22 12:00:00	63.2 -268.13 471.11 -376.49 111.3
2013 Jun 24 12:00:00	51.5 -215.18 401.18 -389.14 189.24 -36.332
2013 Jun 27 12:00:00	86.0 -476.15 1154.7 -1411.5 843.82 -195.79
2013 Jun 29 12:00:00	76.95 -440.15 1185.6 -1709.3 1243.1 -356.04
2013 Jul 01 12:00:00	37.6 -106.01 105.358 -35.652 0.0
2013 Jul 04 12:00:00	23.2 -45.756 27.826 -4.7626 0.0
2013 Jul 05 12:00:00	51.8 -210.9 357.825 -277.23 79.701
2013 Jul 07 12:00:00	110.32 -850.68 2858.3 -4506.2 2712.3
2013 Jul 08 12:00:00	104.4 -649.62 1699 -2220 1421.3 -354.57
2013 Jul 11 12:00:00	87.0 -585.19 1778.1 -2795.0 2185.7 -672.12
2013 Jul 12 12:00:00	69.8 -355.04 738.45 -714.37 262.95
2013 Jul 14 12:00:00	79.9 -462.68 1080.5 -1134.4 439.67

# Restore defaults.  Done with NOMADSS special processing.
2014 Jul 01 12:00:00	0 1
