
# auto_cal results...
# temperature: 45.592
#  Date              Gain  Bipolar  CH0-off   CH0-slope  CH1-off   CH1-slope  CH2-off   CH2-slope  CH3-off   CH3-slope  CH4-off   CH4-slope  CH5-off   CH5-slope  CH6-off   CH6-slope  CH7-off   CH7-slope
2015 Nov 10 17:38:15     4        0  -0.081812    1.0362  -0.047285     1.031  -0.0081126    1.0222   -0.10343     1.037   -0.11521    1.0411   -0.13409    1.0409   -0.10558    1.0361  -0.025558    1.0224

# auto_cal results...
# temperature: 41.786
#  Date              Gain  Bipolar  CH0-off   CH0-slope  CH1-off   CH1-slope  CH2-off   CH2-slope  CH3-off   CH3-slope  CH4-off   CH4-slope  CH5-off   CH5-slope  CH6-off   CH6-slope  CH7-off   CH7-slope
2015 Nov 10 21:06:40     4        0  -0.082425    1.0362  -0.048214    1.0313  -0.0088433    1.0224   -0.10305     1.037   -0.11533    1.0412   -0.13446    1.0409   -0.10559     1.036  -0.026581    1.0226

# auto_cal results...
# temperature: 30.729
#  Date              Gain  Bipolar  CH0-off   CH0-slope  CH1-off   CH1-slope  CH2-off   CH2-slope  CH3-off   CH3-slope  CH4-off   CH4-slope  CH5-off   CH5-slope  CH6-off   CH6-slope  CH7-off   CH7-slope
2017 Dec 20 21:16:46     4        0   -0.08507    1.0374  -0.050707    1.0325  -0.011267    1.0238   -0.10076     1.037   -0.11588    1.0418   -0.13366    1.0413   -0.10817    1.0372  -0.029895     1.024

# auto_cal results...
# temperature: 29.325
#  Date              Gain  Bipolar  CH0-off   CH0-slope  CH1-off   CH1-slope  CH2-off   CH2-slope  CH3-off   CH3-slope  CH4-off   CH4-slope  CH5-off   CH5-slope  CH6-off   CH6-slope  CH7-off   CH7-slope
2017 Dec 21 23:38:15     4        0  -0.085226    1.0371  -0.050379     1.032  -0.012164    1.0234   -0.10019    1.0367   -0.11583    1.0417   -0.13453    1.0414   -0.10932    1.0372   -0.02945    1.0236

# auto_cal results...
# temperature: 44.783
#  Date              Gain  Bipolar  CH0-off   CH0-slope  CH1-off   CH1-slope  CH2-off   CH2-slope  CH3-off   CH3-slope  CH4-off   CH4-slope  CH5-off   CH5-slope  CH6-off   CH6-slope  CH7-off   CH7-slope
2017 Dec 29 21:47:47     1        1          0         1          0         1          0         1    -0.1465    1.0352          0         1          0         1          0         1          0         1
2017 Dec 29 21:48:08     2        0   -0.16706    1.0348  -0.095695    1.0292          0         1          0         1          0         1          0         1          0         1          0         1
