
# auto_cal results...
# temperature: 35.571
#  Date              Gain  Bipolar  CH0-off   CH0-slope  CH1-off   CH1-slope  CH2-off   CH2-slope  CH3-off   CH3-slope  CH4-off   CH4-slope  CH5-off   CH5-slope  CH6-off   CH6-slope  CH7-off   CH7-slope
2014 Aug 14 16:21:20     1        1          0         1   -0.35438    1.0671   -0.32173    1.0659          0         1          0         1          0         1          0         1          0         1
2014 Aug 14 16:21:41     2        0   -0.50849    1.0765          0         1          0         1          0         1    -0.4445    1.0698          0         1          0         1          0         1
2014 Aug 14 16:21:41     4        0          0         1          0         1          0         1   -0.17726    1.0654          0         1    -0.1701    1.0567          0         1          0         1

# auto_cal results...
# temperature: 37.388
#  Date              Gain  Bipolar  CH0-off   CH0-slope  CH1-off   CH1-slope  CH2-off   CH2-slope  CH3-off   CH3-slope  CH4-off   CH4-slope  CH5-off   CH5-slope  CH6-off   CH6-slope  CH7-off   CH7-slope
2014 Aug 14 16:27:39     1        1          0         1   -0.35531    1.0664   -0.31922    1.0652          0         1          0         1          0         1          0         1          0         1
2014 Aug 14 16:27:59     2        0   -0.50853    1.0758          0         1          0         1          0         1   -0.44639    1.0695          0         1          0         1          0         1
2014 Aug 14 16:27:59     4        0          0         1          0         1          0         1   -0.17719    1.0653          0         1   -0.16997    1.0567          0         1          0         1

# auto_cal results...
# temperature: 35.523
#  Date              Gain  Bipolar  CH0-off   CH0-slope  CH1-off   CH1-slope  CH2-off   CH2-slope  CH3-off   CH3-slope  CH4-off   CH4-slope  CH5-off   CH5-slope  CH6-off   CH6-slope  CH7-off   CH7-slope
2014 Aug 17 14:27:13     1        1          0         1   -0.35122    1.0667   -0.32199    1.0657          0         1          0         1          0         1          0         1          0         1
2014 Aug 17 14:27:33     2        0   -0.50856    1.0766          0         1          0         1          0         1    -0.4447    1.0698          0         1          0         1          0         1
2014 Aug 17 14:27:33     4        0          0         1          0         1          0         1   -0.17753    1.0655          0         1   -0.17015    1.0568          0         1          0         1

# auto_cal results...
# temperature: 33.942
#  Date              Gain  Bipolar  CH0-off   CH0-slope  CH1-off   CH1-slope  CH2-off   CH2-slope  CH3-off   CH3-slope  CH4-off   CH4-slope  CH5-off   CH5-slope  CH6-off   CH6-slope  CH7-off   CH7-slope
2014 Aug 17 15:16:16     1        1          0         1   -0.35488    1.0678   -0.32194    1.0668          0         1          0         1          0         1          0         1          0         1
2014 Aug 17 15:16:37     2        0   -0.50934    1.0773          0         1          0         1          0         1   -0.44451    1.0706          0         1          0         1          0         1
2014 Aug 17 15:16:37     4        0          0         1          0         1          0         1   -0.17725    1.0657          0         1   -0.17006    1.0571          0         1          0         1

# auto_cal results...
# temperature: 34.458
#  Date              Gain  Bipolar  CH0-off   CH0-slope  CH1-off   CH1-slope  CH2-off   CH2-slope  CH3-off   CH3-slope  CH4-off   CH4-slope  CH5-off   CH5-slope  CH6-off   CH6-slope  CH7-off   CH7-slope
