# A2D calibrations for TEMP-DACQ S/N#5, installed in GV 1/2020 for ACCLIP-TEST
#  Hand input by Josh Carnes, 1/15/2020
#
#  Date              Gain  Bipolar      CH0-off  CH0-slope  CH1-off  CH1-slope  CH2-off  CH2-slope  CH3-off  CH3-slope
#                           Temp:       30 C       30 C       30 C       30 C
2020 Jan 15 12:00:00    1       1       -0.0  1.0  -0.0  1.0  -0.0  1.0  -0.0  1.0
#                           Temp:       30 C       30 C       30 C       30 C
2020 Jan 15 12:00:00    2       1       -0.0  1.0  -0.0  1.0  -0.0  1.0  -0.0  1.0
