#
#  Date              Gain  Bipolar      CH0-off  CH0-slope  CH1-off  CH1-slope  CH2-off  CH2-slope  CH3-off  CH3-slope  CH4-off  CH4-slope  CH5-off  CH5-slope  CH6-off  CH6-slope  CH7-off  CH7-slope
2008 Jul 28 14:06:00	1	1	-0.427703 1.070820  -0.164416 1.047700  -0.267273 1.059540  -0.142532 1.050630  -0.321165 1.062080  -0.265229 1.058490  -0.389333 1.068490  -0.086108 1.040040  
2008 Jul 28 14:34:00	2	0	-0.480599 1.069780  -0.236531 1.047290  -0.356111 1.059120  -0.237356 1.050210  -0.397339 1.061510  -0.342375 1.057910  -0.479391 1.068080  -0.172036 1.039700  
2008 Jul 28 15:01:00	2	1	-0.214199 1.070580  -0.082531 1.047610  -0.133909 1.059550  -0.071271 1.050610  -0.160628 1.061860  -0.132590 1.058270  -0.194909 1.068420  -0.043015 1.040040  
2008 Jul 28 15:28:00	4	0	-0.240724 1.069890  -0.118886 1.047430  -0.178498 1.059240  -0.118884 1.050330  -0.199078 1.061750  -0.171626 1.058180  -0.240094 1.068270  -0.086364 1.039970  
