
2008 Jul 01 20:27:50  -3.45284   102.391 0.0232925 # wasinger START08 

2010 Oct 08 20:44:48   -2.5019    103.93 0.0235341 # wasinger PREDICT - Post Cals PREDICT POST CALS - 10/08/10

2011 Sep 16 15:40:52   2.61732   103.484 0.0470367 # wasinger HIPPO-5 9/16/11 HIPPO5 Post Cals

2013 Jan 01 00:00:00  -2.5   103.93   0.0235   # tbaltzer DC3 as modified by schanot
